index,name,district,official,cov,cov_centres,bM,jM,bF,jF,adv,belt,jam_won,men_lead,women_lead,both_lead
238,Moulvibazar-4,Moulvibazar,BNP,13.3,14.7,61.51924605427501,0.0,65.27461216087052,0.0,0.0,False,False,BNP,BNP,BNP
243,Brahmanbaria-1,Brahmanbaria,BNP,10.6,12.5,50.18332925934979,12.295282327059398,53.50194552529183,12.88536366357378,0.5900813365143822,False,False,BNP,BNP,BNP
244,Brahmanbaria-2,Brahmanbaria,Other,12.0,13.2,0.0,0.0,0.0,0.0,0.0,False,False,BNP,BNP,BNP
245,Brahmanbaria-3,Brahmanbaria,BNP,31.7,33.3,74.79425878878683,0.0,75.86904822142387,0.0,0.0,False,False,BNP,BNP,BNP
246,Brahmanbaria-4,Brahmanbaria,BNP,18.8,21.5,58.332935275853835,39.60353475041796,59.251484971640394,39.48908043410299,-0.11445431631496916,False,False,BNP,BNP,BNP
247,Brahmanbaria-5,Brahmanbaria,Other,26.9,24.7,34.209178774883185,0.0,34.705568087379795,0.0,0.0,False,False,BNP,BNP,BNP
248,Brahmanbaria-6,Brahmanbaria,Mathal,14.1,16.3,0.0,24.633056796426292,0.0,26.830161054172766,2.1971042577464743,False,False,Jamaat,Jamaat,Jamaat
249,Comilla-1,Cumilla,BNP,12.4,13.8,61.15738004405996,34.23781634517221,54.692025487545855,41.832400077234986,7.594583732062773,False,False,BNP,BNP,BNP
250,Comilla-2,Cumilla,BNP,19.1,20.0,37.586264009275105,22.309943134765085,41.192511405946824,25.250406418794903,2.9404632840298177,False,False,BNP,BNP,BNP
251,Comilla-3,Cumilla,BNP,12.1,13.8,61.22153730028934,36.790791294502455,60.29366401381948,38.14547473625763,1.3546834417551779,False,False,BNP,BNP,BNP
252,Comilla-4,Cumilla,NCP,17.9,19.0,0.0,0.0,0.0,0.0,0.0,False,False,BNP,BNP,BNP
253,Comilla-5,Cumilla,BNP,24.0,25.4,52.23328400376698,45.6343333781784,48.1526064132143,50.31932323536296,4.684989857184561,False,False,BNP,Jamaat,BNP
